Attention backend: flex
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 10,485,760
  value_embeds            : 0
  lm_head                 : 10,485,760
  transformer_matrices    : 327,680,000
  scalars                 : 40
  total                   : 348,651,560
Estimated FLOPs per token: 2.658140e+09
Scaling AdamW LRs by 1/sqrt(1280/768) = 0.774597
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011539 | lrm: 1.00 | dt: 3979ms | tok/sec: 32,942 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.884440 | lrm: 1.00 | dt: 362ms | tok/sec: 362,267 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.628838 | lrm: 1.00 | dt: 380ms | tok/sec: 345,284 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.342259 | lrm: 1.00 | dt: 372ms | tok/sec: 352,790 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.977324 | lrm: 1.00 | dt: 378ms | tok/sec: 346,661 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.676739 | lrm: 1.00 | dt: 379ms | tok/sec: 346,109 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.418925 | lrm: 1.00 | dt: 380ms | tok/sec: 345,024 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.201191 | lrm: 1.00 | dt: 380ms | tok/sec: 345,034 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.016933 | lrm: 1.00 | dt: 363ms | tok/sec: 361,366 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.859998 | lrm: 1.00 | dt: 365ms | tok/sec: 359,354 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.713178 | lrm: 1.00 | dt: 364ms | tok/sec: 360,157 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.586898 | lrm: 1.00 | dt: 363ms | tok/sec: 361,034 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.476791 | lrm: 1.00 | dt: 362ms | tok/sec: 362,054 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.377415 | lrm: 1.00 | dt: 362ms | tok/sec: 362,215 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.290110 | lrm: 1.00 | dt: 362ms | tok/sec: 362,099 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 6.215294 | lrm: 1.00 | dt: 363ms | tok/sec: 361,008 | mfu: 42.6% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 6.150245 | lrm: 1.00 | dt: 365ms | tok/sec: 359,209 | mfu: 42.4% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 6.086972 | lrm: 1.00 | dt: 365ms | tok/sec: 358,649 | mfu: 42.4% | epoch: 1 | remaining: 297s    
step 00018 (0.8%) | loss: 6.027493 | lrm: 1.00 | dt: 363ms | tok/sec: 361,427 | mfu: 42.7% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 5.976793 | lrm: 1.00 | dt: 362ms | tok/sec: 362,176 | mfu: 42.8% | epoch: 1 | remaining: 297s    
step 00020 (1.1%) | loss: 5.933755 | lrm: 1.00 | dt: 363ms | tok/sec: 360,941 | mfu: 42.6% | epoch: 1 | remaining: 296s    
step 00021 (1.2%) | loss: 5.893579 | lrm: 1.00 | dt: 363ms | tok/sec: 360,802 | mfu: 42.6% | epoch: 1 | remaining: 296s    
step 00022 (1.3%) | loss: 5.854766 | lrm: 1.00 | dt: 364ms | tok/sec: 360,453 | mfu: 42.6% | epoch: 1 | remaining: 296s    
step 00023 (1.5%) | loss: 5.817391 | lrm: 1.00 | dt: 364ms | tok/sec: 359,728 | mfu: 42.5% | epoch: 1 | remaining: 295s    
step 00024 (1.6%) | loss: 5.785473 | lrm: 1.00 | dt: 365ms | tok/sec: 359,165 | mfu: 42.4% | epoch: 1 | remaining: 295s    
step 00025 (1.7%) | loss: 5.748738 | lrm: 1.00 | dt: 363ms | tok/sec: 361,394 | mfu: 42.7% | epoch: 1 | remaining: 295s    
step 00026 (1.8%) | loss: 5.719398 | lrm: 1.00 | dt: 366ms | tok/sec: 357,935 | mfu: 42.3% | epoch: 1 | remaining: 294s    
step 00027 (1.9%) | loss: 5.696131 | lrm: 1.00 | dt: 365ms | tok/sec: 359,207 | mfu: 42.4% | epoch: 1 | remaining: 294s    
step 00028 (2.1%) | loss: 5.674487 | lrm: 1.00 | dt: 366ms | tok/sec: 357,979 | mfu: 42.3% | epoch: 1 | remaining: 293s    
step 00029 (2.2%) | loss: 5.651132 | lrm: 1.00 | dt: 364ms | tok/sec: 360,215 | mfu: 42.6% | epoch: 1 | remaining: 293s    
step 00030 (2.3%) | loss: 5.629396 | lrm: 1.00 | dt: 369ms | tok/sec: 355,211 | mfu: 42.0% | epoch: 1 | remaining: 293s    
step 00031 (2.4%) | loss: 5.610117 | lrm: 1.00 | dt: 366ms | tok/sec: 358,563 | mfu: 42.4% | epoch: 1 | remaining: 292s    
step 00032 (2.5%) | loss: 5.587578 | lrm: 1.00 | dt: 363ms | tok/sec: 360,832 | mfu: 42.6% | epoch: 1 | remaining: 292s    
step 00033 (2.7%) | loss: 5.572203 | lrm: 1.00 | dt: 364ms | tok/sec: 360,251 | mfu: 42.6% | epoch: 1 | remaining: 292s    
step 00034 (2.8%) | loss: 5.551648 | lrm: 1.00 | dt: 366ms | tok/sec: 357,725 | mfu: 42.3% | epoch: 1 | remaining: 291s    
step 00035 (2.9%) | loss: 5.535631 | lrm: 1.00 | dt: 365ms | tok/sec: 358,855 | mfu: 42.4% | epoch: 1 | remaining: 291s    
step 00036 (3.0%) | loss: 5.521734 | lrm: 1.00 | dt: 365ms | tok/sec: 359,110 | mfu: 42.4% | epoch: 1 | remaining: 291s    
step 00037 (3.2%) | loss: 5.504942 | lrm: 1.00 | dt: 363ms | tok/sec: 360,987 | mfu: 42.6% | epoch: 1 | remaining: 290s    
step 00038 (3.3%) | loss: 5.488733 | lrm: 1.00 | dt: 366ms | tok/sec: 357,711 | mfu: 42.3% | epoch: 1 | remaining: 290s    
step 00039 (3.4%) | loss: 5.473423 | lrm: 1.00 | dt: 366ms | tok/sec: 358,494 | mfu: 42.4% | epoch: 1 | remaining: 289s    
step 00040 (3.5%) | loss: 5.457786 | lrm: 1.00 | dt: 365ms | tok/sec: 359,289 | mfu: 42.4% | epoch: 1 | remaining: 289s    
step 00041 (3.6%) | loss: 5.445819 | lrm: 1.00 | dt: 366ms | tok/sec: 357,909 | mfu: 42.3% | epoch: 1 | remaining: 289s    
step 00042 (3.8%) | loss: 5.433818 | lrm: 1.00 | dt: 367ms | tok/sec: 356,762 | mfu: 42.1% | epoch: 1 | remaining: 288s    
step 00043 (3.9%) | loss: 5.419453 | lrm: 1.00 | dt: 364ms | tok/sec: 359,657 | mfu: 42.5% | epoch: 1 | remaining: 288s    
step 00044 (4.0%) | loss: 5.407452 | lrm: 1.00 | dt: 366ms | tok/sec: 357,779 | mfu: 42.3% | epoch: 1 | remaining: 288s    
step 00045 (4.1%) | loss: 5.399101 | lrm: 1.00 | dt: 366ms | tok/sec: 357,850 | mfu: 42.3% | epoch: 1 | remaining: 287s    
step 00046 (4.3%) | loss: 5.389589 | lrm: 1.00 | dt: 366ms | tok/sec: 358,150 | mfu: 42.3% | epoch: 1 | remaining: 287s    
step 00047 (4.4%) | loss: 5.377519 | lrm: 1.00 | dt: 366ms | tok/sec: 358,454 | mfu: 42.3% | epoch: 1 | remaining: 287s    
step 00048 (4.5%) | loss: 5.366774 | lrm: 1.00 | dt: 368ms | tok/sec: 356,652 | mfu: 42.1% | epoch: 1 | remaining: 286s    
step 00049 (4.6%) | loss: 5.358600 | lrm: 1.00 | dt: 366ms | tok/sec: 357,803 | mfu: 42.3% | epoch: 1 | remaining: 286s    
step 00050 (4.7%) | loss: 5.348524 | lrm: 1.00 | dt: 366ms | tok/sec: 357,818 | mfu: 42.3% | epoch: 1 | remaining: 285s    
step 00051 (4.9%) | loss: 5.335219 | lrm: 1.00 | dt: 365ms | tok/sec: 358,845 | mfu: 42.4% | epoch: 1 | remaining: 285s    
step 00052 (5.0%) | loss: 5.323367 | lrm: 1.00 | dt: 368ms | tok/sec: 356,587 | mfu: 42.1% | epoch: 1 | remaining: 285s    
step 00053 (5.1%) | loss: 5.314256 | lrm: 1.00 | dt: 367ms | tok/sec: 357,095 | mfu: 42.2% | epoch: 1 | remaining: 284s    
step 00054 (5.2%) | loss: 5.302057 | lrm: 1.00 | dt: 368ms | tok/sec: 356,522 | mfu: 42.1% | epoch: 1 | remaining: 284s    
step 00055 (5.4%) | loss: 5.288776 | lrm: 1.00 | dt: 366ms | tok/sec: 358,081 | mfu: 42.3% | epoch: 1 | remaining: 284s    
step 00056 (5.5%) | loss: 5.279618 | lrm: 1.00 | dt: 408ms | tok/sec: 320,954 | mfu: 37.9% | epoch: 1 | remaining: 283s    
step 00057 (5.6%) | loss: 5.271243 | lrm: 1.00 | dt: 406ms | tok/sec: 322,560 | mfu: 38.1% | epoch: 1 | remaining: 283s    
step 00058 (5.7%) | loss: 5.265091 | lrm: 1.00 | dt: 373ms | tok/sec: 350,947 | mfu: 41.5% | epoch: 1 | remaining: 282s    
step 00059 (5.9%) | loss: 5.251805 | lrm: 1.00 | dt: 373ms | tok/sec: 351,845 | mfu: 41.6% | epoch: 1 | remaining: 282s    
step 00060 (6.0%) | loss: 5.237701 | lrm: 1.00 | dt: 365ms | tok/sec: 358,782 | mfu: 42.4% | epoch: 1 | remaining: 282s    
step 00061 (6.1%) | loss: 5.225612 | lrm: 1.00 | dt: 371ms | tok/sec: 353,028 | mfu: 41.7% | epoch: 1 | remaining: 281s    
step 00062 (6.2%) | loss: 5.216043 | lrm: 1.00 | dt: 367ms | tok/sec: 357,502 | mfu: 42.2% | epoch: 1 | remaining: 281s    
step 00063 (6.4%) | loss: 5.206579 | lrm: 1.00 | dt: 368ms | tok/sec: 356,454 | mfu: 42.1% | epoch: 1 | remaining: 281s    
step 00064 (6.5%) | loss: 5.199100 | lrm: 1.00 | dt: 367ms | tok/sec: 356,913 | mfu: 42.2% | epoch: 1 | remaining: 280s    
step 00065 (6.6%) | loss: 5.185642 | lrm: 1.00 | dt: 366ms | tok/sec: 358,092 | mfu: 42.3% | epoch: 1 | remaining: 280s    
step 00066 (6.7%) | loss: 5.175712 | lrm: 1.00 | dt: 366ms | tok/sec: 357,764 | mfu: 42.3% | epoch: 1 | remaining: 279s    
step 00067 (6.9%) | loss: 5.168104 | lrm: 1.00 | dt: 389ms | tok/sec: 337,281 | mfu: 39.8% | epoch: 1 | remaining: 279s    
step 00068 (7.0%) | loss: 5.158209 | lrm: 1.00 | dt: 439ms | tok/sec: 298,677 | mfu: 35.3% | epoch: 1 | remaining: 279s    
step 00069 (7.1%) | loss: 5.145627 | lrm: 1.00 | dt: 367ms | tok/sec: 357,133 | mfu: 42.2% | epoch: 1 | remaining: 278s    
step 00070 (7.2%) | loss: 5.135296 | lrm: 1.00 | dt: 362ms | tok/sec: 361,762 | mfu: 42.7% | epoch: 1 | remaining: 278s    
step 00071 (7.4%) | loss: 5.120347 | lrm: 1.00 | dt: 351ms | tok/sec: 373,035 | mfu: 44.1% | epoch: 1 | remaining: 278s    
step 00072 (7.5%) | loss: 5.111850 | lrm: 1.00 | dt: 348ms | tok/sec: 377,162 | mfu: 44.6% | epoch: 1 | remaining: 277s    
step 00073 (7.6%) | loss: 5.096395 | lrm: 1.00 | dt: 352ms | tok/sec: 372,512 | mfu: 44.0% | epoch: 1 | remaining: 277s    
step 00074 (7.7%) | loss: 5.088811 | lrm: 1.00 | dt: 344ms | tok/sec: 380,610 | mfu: 45.0% | epoch: 1 | remaining: 276s    
step 00075 (7.8%) | loss: 5.076703 | lrm: 1.00 | dt: 347ms | tok/sec: 378,059 | mfu: 44.7% | epoch: 1 | remaining: 276s    
step 00076 (8.0%) | loss: 5.063594 | lrm: 1.00 | dt: 348ms | tok/sec: 376,435 | mfu: 44.5% | epoch: 1 | remaining: 276s    
step 00077 (8.1%) | loss: 5.049230 | lrm: 1.00 | dt: 345ms | tok/sec: 380,351 | mfu: 44.9% | epoch: 1 | remaining: 275s    
step 00078 (8.2%) | loss: 5.036190 | lrm: 1.00 | dt: 345ms | tok/sec: 380,262 | mfu: 44.9% | epoch: 1 | remaining: 275s    
step 00079 (8.3%) | loss: 5.026334 | lrm: 1.00 | dt: 349ms | tok/sec: 376,065 | mfu: 44.4% | epoch: 1 | remaining: 275s    
step 00080 (8.4%) | loss: 5.018306 | lrm: 1.00 | dt: 347ms | tok/sec: 377,585 | mfu: 44.6% | epoch: 1 | remaining: 274s    
step 00081 (8.5%) | loss: 5.008039 | lrm: 1.00 | dt: 346ms | tok/sec: 378,942 | mfu: 44.8% | epoch: 1 | remaining: 274s    
step 00082 (8.6%) | loss: 4.996389 | lrm: 1.00 | dt: 350ms | tok/sec: 374,893 | mfu: 44.3% | epoch: 1 | remaining: 274s    
step 00083 (8.8%) | loss: 4.981652 | lrm: 1.00 | dt: 347ms | tok/sec: 378,220 | mfu: 44.7% | epoch: 1 | remaining: 273s    
step 00084 (8.9%) | loss: 4.973776 | lrm: 1.00 | dt: 349ms | tok/sec: 376,091 | mfu: 44.4% | epoch: 1 | remaining: 273s    
step 00085 (9.0%) | loss: 4.965597 | lrm: 1.00 | dt: 348ms | tok/sec: 376,817 | mfu: 44.5% | epoch: 1 | remaining: 273s    
step 00086 (9.1%) | loss: 4.952361 | lrm: 1.00 | dt: 348ms | tok/sec: 376,726 | mfu: 44.5% | epoch: 1 | remaining: 272s    
step 00087 (9.2%) | loss: 4.936139 | lrm: 1.00 | dt: 348ms | tok/sec: 376,330 | mfu: 44.5% | epoch: 1 | remaining: 272s    
step 00088 (9.3%) | loss: 4.927803 | lrm: 1.00 | dt: 345ms | tok/sec: 379,820 | mfu: 44.9% | epoch: 1 | remaining: 272s    
step 00089 (9.5%) | loss: 4.914998 | lrm: 1.00 | dt: 345ms | tok/sec: 380,373 | mfu: 44.9% | epoch: 1 | remaining: 271s    
step 00090 (9.6%) | loss: 4.906246 | lrm: 1.00 | dt: 349ms | tok/sec: 375,573 | mfu: 44.4% | epoch: 1 | remaining: 271s    
